ElapsedTime, Axis_A, Axis_B, Axis_C, Axis_D, Axis_E
0.887197, 0.0,1.0,2.2,0.915,3.927
1.894416, 0.0,1.0,2.2,0.915,3.927
2.883127, 0.0,1.0,2.2,0.9154369346994975,3.927009295775519
3.889566, 0.0,1.0,2.2,0.9159014834678745,3.927019179039709
4.892042, 0.0,1.0,2.2,1.0494317167434584,3.957961940411384
5.900940, 0.0,1.0,2.2,1.191382421982761,3.990860077017419
6.913651, 0.0,1.048863842018418,2.164644090096052,1.2814860753626047,3.9191245646684325
7.947909, 0.0,1.102928057570573,2.1255253991554355,1.374966669523543,3.838314769880783
8.951962, 0.0,1.1607027633514773,2.0837219434020073,1.4564073246464313,3.7476816629173064
9.950633, 0.0,1.2197993188039762,2.040962050273637,1.539364476126757,3.654894548935817
10.978142, 0.0,1.2769140655994908,1.9973732559279962,1.6630066210068835,3.647164120902377
11.999923, 0.0,1.334480221812083,1.9533414932038737,1.7895173234250403,3.6429382084014788
13.003149, 0.0,1.4061143683845947,1.9194078476905037,1.8537361839996513,3.587196287028589
14.025566, 0.0,1.48008751,1.88453666,1.91929021,3.52922173
15.019993, 0.0,1.5250303452767195,1.8174865751886151,1.925840360430709,3.4326497153096023
16.050296, 0.0,1.57180879,1.74769795,1.93265804,3.33213339
17.054914, 0.0,1.5700802160388914,1.6310043944485055,1.9414367560109858,3.2477743264852967
18.075456, 0.0,1.566917065600031,1.516691008122645,1.9496636694752287,3.1629538643547113
19.073035, 0.0,1.5183305924551713,1.5178276507682218,1.937252512828078,3.0916212609750664
20.099145, 0.0,1.4685195222546665,1.5208391922160927,1.9243827129851363,3.019784830539761
21.106646, 0.0,1.3820067955224342,1.6161110079764547,1.8949182943376952,2.958129875073014
22.127953, 0.0,1.29787875782412,1.7101158996661598,1.8651638947144453,2.896504004746207
23.137815, 0.0,1.2627852638432862,1.7945074341293628,1.8161180092619644,2.815275240339158
24.157869, 0.0,1.2290852037161903,1.8749408138600152,1.7685041716774756,2.737483135476383
25.161899, 0.0,1.194708840110297,1.896882392587032,1.6689240031783423,2.679049832992611
