ElapsedTime, Axis_A, Axis_B, Axis_C, Axis_D, Axis_E
0.896772, 0.0,1.0,2.2,0.915,3.927
1.924360, 0.0,1.0,2.2,0.9150091902964238,3.9270001955233416
2.915045, 0.0,1.0,2.2,0.9154644981328436,3.9270098821869195
3.933502, 0.0,1.0,2.2,0.91591986,3.92701957
4.938653, 0.0,1.0,2.2,1.0550535311237657,3.959264837900659
5.962784, 0.0,1.0,2.2,1.19699727,3.99216136
6.989109, 0.0,1.0530297710149852,2.1616297915025573,1.2886892413357742,3.91289774968787
8.006482, 0.0,1.10397032,2.12477126,1.37676881,3.8367569
9.008805, 0.0,1.1624783821427076,2.0824371769859553,1.4588998603942012,3.7448937755030896
10.037358, 0.0,1.22216298,2.0392518,1.54268248,3.65118338
11.027531, 0.0,1.2786031913177074,1.9960812609828924,1.6667187410291926,3.6470401227416898
12.071785, 0.0,1.3357689504746924,1.9525689142280949,1.7913969990743108,3.6423277084236783
13.066401, 0.0,1.4082897485791324,1.9183823661521322,1.855663977340845,3.585491388461447
14.089778, 0.0,1.480543054422649,1.8838570346050754,1.9193566028850473,3.5282428677985984
15.080503, 0.0,1.525946606009833,1.8161196084744249,1.9259738999726337,3.4306808776865716
16.101846, 0.0,1.57180879,1.74769795,1.93265804,3.33213339
17.103354, 0.0,1.5701146898103704,1.6333316694495605,1.9412616779081961,3.249456739354648
18.127116, 0.0,1.5683690753827801,1.5154877363806747,1.9501269354379736,3.1642660551939126
19.117328, 0.0,1.519301072621856,1.51722029171728,1.937546596026546,3.0926362819324558
20.163188, 0.0,1.47023242,1.51895287,1.92496609,3.02100556
21.154595, 0.0,1.3854324007723027,1.6123385730462352,1.8960849835754001,2.9605711984147347
22.185222, 0.0,1.29892148,1.7076084,1.86662118,2.89891753
23.189083, 0.0,1.2641749911542774,1.7911654693673467,1.8180602611945387,2.8184919571584124
24.211195, 0.0,1.2290853243493993,1.8749407368628352,1.7685045211232584,2.737483340529974
25.223109, 0.0,1.1943606639287208,1.8971046247924657,1.6679154193960017,2.6784579994767412
26.240190, 0.0,1.1585845479928276,1.9184892768896857,1.5662217964521443,2.621230552226083
27.245659, 0.0,1.1031357885375612,1.9248911179428878,1.4444025915371548,2.598638658443496
28.265145, 0.0,1.0511136156514707,1.9355084824103062,1.321345310793022,2.5772072027915587
29.254706, 0.0,1.0618020846838827,2.0103606486954164,1.2001810274464741,2.5776732234925337
30.300817, 0.0,1.0683530092075004,2.0873605332179017,1.077066207340713,2.574209787195923
31.309346, 0.0,1.0320182504220383,2.1472368708174105,0.9955555117516911,2.5347617109729894
